roster.csv
name,position,number
Deshaun Watson,Quarterback,4
Nick Chubb,Running Back,24
Amari Cooper,Wide Receiver,2
Myles Garrett,Defensive End,95
Denzel Ward,Cornerback,21
David Njoku,Tight End,85
Kareem Hunt,Running Back,27
Jadeveon Clowney,Defensive End,90
Joel Bitonio,Guard,75
Wyatt Teller,Guard,77
Greg Newsome II,Cornerback,20
Anthony Schwartz,Wide Receiver,10
Taven Bryan,Defensive Tackle,90
John Johnson III,Safety,43
Jeremiah Owusu-Koramoah,Linebacker,28
Jack Conklin,Tackle,78
